Jahr;Verkehrsausgaben insgesamt in Mio €;davon in Bundesfernstraßen;davon in Bundeswasserstraßen;davon Eisenbahnen;davon Luftfahrt;Anteil Bundesfernstraßen;Anteil Bundeswasserstraßen;Anteil Eisenbahnen;Anteil Luftfahrt
1991;18099;4277;1682;9955;501;23,63113984;9,293331123;55,00303884;2,768108735
1992;20426;5041;2438;10536;625;24,67933027;11,93576814;51,58131793;3,059825712
1993;22423;5332;3155;11623;350;23,77915533;14,07037417;51,83516925;1,560897293
1994;26966;5471;3139;15995;359;20,28851146;11,64058444;59,31543425;1,331306089
1995;26879;5449;3080;15747;482;20,27233156;11,45875963;58,58476878;1,793221474
1996;25425;5200;3070;14649;425;20,45231072;12,0747296;57,61651917;1,671583088
1997;21905;5197;1682;12521;442;23,7251769;7,678612189;57,16046565;2,017804154
1998;21995;5292;1650;12473;488;24,06001364;7,501704933;56,70834281;2,218686065
1999;20563;5212;1625;11115;503;25,34649613;7,902543403;54,05339688;2,446141127
2000;19986;5070;1631;10715;491;25,36775743;8,160712499;53,61252877;2,456719704
2001;18343;5578;1552;8589;434;30,40922809;8,461822749;46,82210587;2,367372783
2002;21027;5631;1601;11013;513;26,77952628;7,613341785;52,37514915;2,441209355
2003;20683;5572;1604;10713;449;26,94057913;7,757241559;51,7971318;2,169404523
2004;19517;5848;1574;9502;448;29,96331441;8,066218515;48,68270039;2,293361753
2005;20449;6151;1619;9350;478;30,07988559;7,917436399;45,72291638;2,335382686
2006;20503;6124;1632;9200;472;29,86948546;7,961725056;44,87213505;2,303211467
2007;20806;5833;1734;9666;509;28,03529026;8,336355034;46,45886273;2,446661712
2008;20327;5968;1923;8630;510;29,36008909;9,460147607;42,45458181;2,510407349
2009;22781;6886;2220;9925;533;30,22694351;9,744516734;43,5657791;2,338132113
2010;21958;6299;2106;9977;448;28,68658348;9,591423194;45,43893604;2,038511643
2011;21477;6064;1999;9497;506;28,23485589;9,30615354;44,22129688;2,356115616
2012;22221;6461;2021;9808;545;29,07609919;9,093616207;44,13911046;2,452626704
2013;22860;7655;1997;10137;654;33,48608634;8,734003363;44,34544288;2,859533914
2014;22533;6600;2049;9789;697;29,2901346;9,092397392;43,4444641;3,091679956
2015;23380;6463;2056;10295;801;27,64374172;8,795893994;44,03526054;3,427486808
2016;24273;7560;1025;5293;454;31,14548827;4,222768641;21,80677474;1,86946355
2017;27930;8950;1037;6616;571;32,04392337;3,713087327;23,68912429;2,045434898
2018;28687;10350;1093;6455;479;36,0785818;3,809847591;22,50134729;1,671448572
2019;29111;10473;1356;6292;338;35,97568058;4,656871152;21,6120771;1,159967483
2020;30325;10862;1585;7536;329;35,81895498;5,226065554;24,85177304;1,085448791
2021;37210;11127;1459;11077;886;29,90350527;3,919797797;29,76924093;2,37991739
2022;35839;11860;1661;9943;425;33,0924412;4,635026089;27,74458185;1,184589414
2023;36168;12879;1498;9267;629;35,60835983;4,141206971;25,6229371;1,739946847
2024;45259;13946;1783;16244;426;30,81343517;3,939503834;35,89146723;0,94186015
