Jahr;Straßenverkehr;Schienenverkehr;Schiffsverkehr
1991;64,0%;21,4%;14,6%
1992;66,0%;19,0%;15,0%
1993;67,2%;17,5%;15,3%
1994;67,3%;17,5%;15,2%
1995;67,5%;17,0%;15,5%
1996;68,1%;17,0%;14,9%
1997;68,9%;16,9%;14,2%
1998;69,5%;16,3%;14,2%
1999;71,0%;16,0%;13,0%
2000;69,9%;16,7%;13,4%
2001;70,8%;16,2%;13,0%
2002;70,9%;16,2%;12,9%
2003;72,7%;16,2%;11,1%
2004;71,9%;16,6%;11,5%
2005;71,6%;17,0%;11,4%
2006;72,0%;17,6%;10,5%
2007;71,6%;18,1%;10,2%
2008;71,8%;18,1%;10,0%
2009;73,4%;16,9%;9,8%
2010;72,3%;17,6%;10,2%
2011;72,4%;18,6%;9,0%
2012;71,9%;18,3%;9,8%
2013;71,9%;18,3%;9,8%
2014;72,1%;18,4%;9,5%
2015;72,5%;18,9%;8,6%
2016;71,1%;20,8%;8,1%
2017;71,3%;20,6%;8,1%
2018;72,7%;20,4%;6,9%
2019;72,5%;20,1%;7,4%
2020;73,6%;19,4%;7,0%
2021;72,8%;20,2%;7,0%
2022;72,7%;20,9%;6,4%
2023;73,2%;20,4%;6,4%
2024;72,6%;20,8%;6,7%
