Jahr;Verkehrsträger;Prozent
1991;Straßenverkehr;90,9
1991;Schienenverkehr;6,5
1991;Luftverkehr;2,6
1992;Straßenverkehr;90,8
1992;Schienenverkehr;6,4
1992;Luftverkehr;2,9
1993;Straßenverkehr;90
1993;Schienenverkehr;7
1993;Luftverkehr;3
1994;Straßenverkehr;90,4
1994;Schienenverkehr;6,6
1994;Luftverkehr;3
1995;Straßenverkehr;89,8
1995;Schienenverkehr;7
1995;Luftverkehr;3,2
1996;Straßenverkehr;89,6
1996;Schienenverkehr;7,1
1996;Luftverkehr;3,3
1997;Straßenverkehr;89,4
1997;Schienenverkehr;7,1
1997;Luftverkehr;3,5
1998;Straßenverkehr;89,3
1998;Schienenverkehr;7
1998;Luftverkehr;3,6
1999;Straßenverkehr;89,2
1999;Schienenverkehr;7
1999;Luftverkehr;3,8
2000;Straßenverkehr;88,7
2000;Schienenverkehr;7,2
2000;Luftverkehr;4,1
2001;Straßenverkehr;89
2001;Schienenverkehr;7,1
2001;Luftverkehr;3,9
2002;Straßenverkehr;89,5
2002;Schienenverkehr;6,6
2002;Luftverkehr;3,8
2003;Straßenverkehr;89,2
2003;Schienenverkehr;6,7
2003;Luftverkehr;4,1
2004;Straßenverkehr;88,9
2004;Schienenverkehr;6,7
2004;Luftverkehr;4,4
2005;Straßenverkehr;88,1
2005;Schienenverkehr;7,1
2005;Luftverkehr;4,8
2006;Straßenverkehr;87,7
2006;Schienenverkehr;7,2
2006;Luftverkehr;5,1
2007;Straßenverkehr;87,5
2007;Schienenverkehr;7,2
2007;Luftverkehr;5,4
2008;Straßenverkehr;87,1
2008;Schienenverkehr;7,4
2008;Luftverkehr;5,5
2009;Straßenverkehr;87,4
2009;Schienenverkehr;7,4
2009;Luftverkehr;5,2
2010;Straßenverkehr;87,8
2010;Schienenverkehr;7,5
2010;Luftverkehr;4,7
2011;Straßenverkehr;87,6
2011;Schienenverkehr;7,6
2011;Luftverkehr;4,9
2012;Straßenverkehr;87,2
2012;Schienenverkehr;7,8
2012;Luftverkehr;4,9
2013;Straßenverkehr;87,2
2013;Schienenverkehr;7,8
2013;Luftverkehr;4,9
2014;Straßenverkehr;87,2
2014;Schienenverkehr;7,8
2014;Luftverkehr;5,1
2015;Straßenverkehr;87
2015;Schienenverkehr;7,8
2015;Luftverkehr;5,2
2016;Straßenverkehr;86,9
2016;Schienenverkehr;7,8
2016;Luftverkehr;5,3
2017;Straßenverkehr;85,9
2017;Schienenverkehr;8,3
2017;Luftverkehr;5,8
2018;Straßenverkehr;85,5
2018;Schienenverkehr;8,4
2018;Luftverkehr;6,1
2019;Straßenverkehr;85,1
2019;Schienenverkehr;8,7
2019;Luftverkehr;6,1
2020;Straßenverkehr;91,6
2020;Schienenverkehr;6,4
2020;Luftverkehr;2
2021;Straßenverkehr;91,6
2021;Schienenverkehr;6
2021;Luftverkehr;2,4
2022;Straßenverkehr;86,7
2022;Schienenverkehr;8,8
2022;Luftverkehr;4,5
2023;Straßenverkehr;85,4
2023;Schienenverkehr;9,4
2023;Luftverkehr;5,2
2024;Straßenverkehr;84,7
2024;Schienenverkehr;9,8
2024;Luftverkehr;5,5
